GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score
Unpacking,1.44,"81,045",39.7,1-2 hours,3.5,14 Oct 21,1437,1000
For Honor,3.07,"162,636",0.5,80-100 hours,3.5,03 Jun 21,3651,1190
art of rally,3.60,"61,023",2.1,20-25 hours,3.5,03 Aug 21,3599,1000
Totally Accurate Battle Simulator,3.43,"21,802",4.4,8-10 hours,3.5,05 Oct 21,3427,1000
Killer Instinct Classic,2.17,"8,060",9.0,15-20 hours,3.5,18 Dec 19,2168,1000
Lonely Mountains: Downhill,7.52,"71,144",0.2,25-30 hours,3.5,16 Dec 19,11131,1480
Payday 2: Crimewave Edition,5.84,"171,678",0.1,150-200 hours,3.4,09 Feb 22,14662,2510
Cris Tales,4.88,"14,166",1.2,30-35 hours,3.4,19 Jul 21,4876,1000
EA SPORTS UFC 4,2.81,"66,145",0.5,15-20 hours,3.4,08 Jul 21,2812,1000
Going Under,3.74,"20,517",0.7,12-15 hours,3.4,29 Jun 21,3923,1050
Marvel's Avengers,2.67,"137,585",1.3,100-120 hours,3.4,30 Sep 21,2675,1000
Pikuniku,1.74,"26,753",12.2,4-5 hours,3.4,12 Mar 20,1743,1000
7 Days to Die,4.21,"79,392",0.3,150-200 hours,3.4,26 Apr 22,4214,1000
The Sims 4,2.44,"86,219",8.9,2-3 hours,3.4,09 Nov 20,2437,1000
Need for Speed,4.57,"141,952",0.1,20-25 hours,3.4,09 Nov 20,10060,2200
Zoo Tycoon: Ultimate Animal Collection,6.92,"82,969",0.5,80-100 hours,3.4,16 Dec 19,10381,1500
Golf With Your Friends,3.41,"160,235",1.1,10-12 hours,3.4,19 May 20,3874,1135
Neon Abyss,7.79,"53,076",0.2,50-60 hours,3.4,14 Jul 20,7788,1000
Before We Leave,12.53,"13,726",0.2,60-80 hours,3.4,23 Nov 21,12528,1000
Black Desert,3.71,"62,581",0.9,500-750 hours,3.4,10 Sep 20,3706,1000
Raji: An Ancient Epic,2.25,"25,032",9.0,5-6 hours,3.4,22 Jul 21,2250,1000
Backbone,2.71,"7,293",3.6,8-10 hours,3.4,28 Oct 21,2707,1000
Army of TWO,2.35,"113,638",1.1,30-35 hours,3.4,09 Nov 20,2941,1250
Just Cause 4,3.68,"122,768",0.7,50-60 hours,3.4,12 May 21,9196,2500
Kill It With Fire,2.23,"46,897",14.0,4-5 hours,3.4,04 Nov 21,2225,1000
Shredders,3.11,"10,753",2.7,8-10 hours,3.4,17 Mar 22,3111,1000
Trailmakers,3.06,"17,806",3.3,12-15 hours,3.4,06 Aug 20,3674,1200
The Bard's Tale Trilogy,5.64,"10,780",1.7,60-80 hours,3.4,16 Dec 19,5638,1000
The Procession to Calvary,1.29,"23,853",52.4,1-2 hours,3.4,07 Oct 21,1288,1000
Disneyland Adventures,3.90,"93,220",2.3,40-50 hours,3.4,16 Dec 19,3904,1000
Lumines Remastered,9.76,"21,973",0.3,15-20 hours,3.3,05 Aug 21,9765,1000
Empire of Sin,5.99,"27,123",0.1,60-80 hours,3.3,18 Mar 21,7186,1200
Skul: The Hero Slayer,6.00,"20,337",1.3,1-2 hours,3.3,10 Feb 22,5996,1000
FIFA 21 (Xbox One),2.80,"71,742",0.5,150-200 hours,3.3,06 May 21,2802,1000
Olija,1.83,"4,380",14.2,4-5 hours,3.3,04 Jan 22,1830,1000
Besiege Console,3.90,"10,852",3.6,6-8 hours,3.3,10 Feb 22,3896,1000
NBA LIVE 19,5.71,"29,473",0.1,,3.3,09 Nov 20,5714,1000
Double Dragon Neon,6.60,"36,824",0.6,20-25 hours,3.3,16 Dec 19,2640,400
EA SPORTS Rory McIlroy PGA TOUR,2.99,"68,686",2.3,25-30 hours,3.3,09 Nov 20,2994,1000
FIFA 21,3.45,"38,890",0.5,200-300 hours,3.3,06 May 21,3447,1000
Banjo-Kazooie: Nuts Bolts,2.99,"116,819",1.4,30-35 hours,3.3,28 Apr 20,3735,1250
DIRT 5,2.45,"70,960",1.7,15-20 hours,3.3,24 Feb 21,4414,1800
Wolfenstein: Youngblood,2.76,"57,467",3.4,50-60 hours,3.3,06 Feb 20,2760,1000
Lawn Mowing Simulator,5.54,"33,974",0.1,60-80 hours,3.3,02 Dec 21,7706,1390
Descenders,12.95,"89,907",0.1,50-60 hours,3.3,16 Dec 19,19426,1500
Astria Ascending,7.28,"8,446",0.4,,3.3,18 Sep 21,7282,1000
Need for Speed Rivals,3.40,"156,431",2.3,40-50 hours,3.3,09 Nov 20,3401,1000
We Happy Few,5.01,"104,309",0.4,40-50 hours,3.3,21 Oct 20,7717,1540
Anthem,2.70,"138,608",1.5,60-80 hours,3.3,09 Nov 20,2701,1000
Grand Theft Auto: San Andreas – The Definitive Edition,4.19,"122,455",2.2,50-60 hours,3.3,20 Nov 21,4189,1000
The Bard's Tale IV: Director's Cut,4.47,"13,640",0.8,50-60 hours,3.3,16 Dec 19,4466,1000
Fe,2.81,"20,917",5.7,10-12 hours,3.3,09 Nov 20,2814,1000
Halo: Spartan Assault,3.50,"154,721",2.5,20-25 hours,3.3,16 Dec 19,3499,1000
FIFA 20,3.25,"93,669",0.3,150-200 hours,3.3,09 Nov 20,3248,1000
Feeding Frenzy 2: Shipwreck Showdown,1.71,"41,431",15.8,8-10 hours,3.2,09 Nov 20,342,200
Fallout 76,2.79,"179,272",0.7,80-100 hours,3.2,09 Jul 20,3659,1310
Serious Sam 4,3.25,"39,947",3.9,8-10 hours,3.2,07 Dec 21,3249,1000
Generation Zero,3.40,"60,442",0.6,40-50 hours,3.2,30 Nov 21,4730,1390
Recompile,3.38,"7,808",6.1,6-8 hours,3.2,17 Aug 21,3378,1000
Joy Ride Turbo,2.92,"54,953",3.6,8-10 hours,3.2,21 Oct 20,585,200
ARK: Survival Evolved,2.15,"162,516",9.2,1-2 hours,3.2,03 Mar 22,3226,1500
Madden NFL 21,2.52,"22,414",3.0,8-10 hours,3.2,02 Mar 21,2515,1000
Embr,4.15,"18,501",1.7,20-25 hours,3.2,06 Jan 22,4152,1000
Lake,1.28,"14,544",40.6,6-8 hours,3.2,15 Dec 21,1280,1000
Craftopia,2.91,"43,789",2.0,25-30 hours,3.2,01 Sep 21,2908,1000
Edge of Eternity,7.59,"14,114",0.0,,3.2,31 Jan 22,7589,1000
theHunter: Call of the Wild,7.55,"127,983",0.0,120-150 hours,3.2,16 Dec 19,28173,3730
Heavy Weapon,2.81,"68,766",3.1,8-10 hours,3.2,09 Nov 20,561,200
Crown Trick,5.50,"12,253",0.0,,3.2,03 Sep 21,5498,1000
Rocket Arena,5.65,"23,636",0.9,50-60 hours,3.1,09 Nov 20,5649,1000
A Memoir Blue,1.17,"12,819",62.6,1-2 hours,3.1,24 Mar 22,1167,1000
Kameo: Elements of Power,3.71,"119,215",0.3,20-25 hours,3.1,16 Dec 19,3710,1000
Medal of Honor: Airborne,3.90,"125,854",0.4,40-50 hours,3.1,09 Nov 20,3897,1000
Second Extinction,4.47,"75,606",1.1,25-30 hours,3.1,10 Apr 21,4473,1000
Zuma,4.40,"55,950",0.6,50-60 hours,3.1,09 Nov 20,880,200
Rubber Bandits,1.80,"32,058",10.7,1-2 hours,3.1,02 Dec 21,1799,1000
ClusterTruck,3.90,"89,829",2.2,8-10 hours,3.1,13 Dec 18,3905,1000
The Bard's Tale ARPG : Remastered and Resnarkled,1.89,"23,738",22.0,2-3 hours,3.1,18 Jun 20,1894,1000
Wasteland Remastered,3.58,"4,357",4.4,25-30 hours,3.1,25 Feb 20,3583,1000
ScreamRide,11.08,"52,491",0.1,50-60 hours,3.1,16 Dec 19,11080,1000
Townscaper,1.13,"66,402",65.1,0-0.5 hours,3.0,02 Dec 21,1125,1000
Into the Pit,1.58,"1,710",24.0,10-12 hours,3.0,08 Oct 21,1577,1000
Exo One,5.84,"33,580",0.6,8-10 hours,3.0,15 Nov 21,5840,1000
NHL 94 Rewind,2.12,"22,264",12.5,2-3 hours,3.0,03 Dec 20,2117,1000
Nuclear Throne,22.28,"12,261",0.0,,3.0,09 Sep 21,22277,1000
Madden NFL 21 (Xbox One),2.39,"44,754",2.4,10-12 hours,3.0,02 Mar 21,2387,1000
PAW Patrol: Mighty Pups Save Adventure Bay,1.48,"30,023",28.4,3-4 hours,3.0,16 Dec 21,1483,1000
The Last Kids on Earth and the Staff of Doom,2.90,"8,644",5.4,12-15 hours,2.9,10 Feb 22,2897,1000
Bejeweled 2,5.12,"23,877",0.7,300-500 hours,2.9,09 Nov 20,1025,200
Goat Simulator,2.33,"257,140",1.4,4-5 hours,2.9,16 Dec 19,5532,2375
The Good Life,8.06,"8,295",0.5,60-80 hours,2.9,30 Sep 21,8060,1000
Kentucky Route Zero: TV Edition,2.63,"6,563",9.2,8-10 hours,2.9,13 Mar 22,2632,1000
Space Warlord Organ Trading Simulator,1.46,"15,794",22.0,2-3 hours,2.9,26 Nov 21,1465,1000
Power Rangers: Battle for the Grid,8.92,"13,851",0.4,,2.9,26 Mar 20,8923,1000
Bleeding Edge,2.08,"60,306",13.0,8-10 hours,2.9,20 Mar 20,2085,1000
Feeding Frenzy,2.15,"90,172",6.1,10-12 hours,2.9,09 Nov 20,430,200
Rush: A Disney Pixar Adventure,3.01,"82,740",3.7,15-20 hours,2.9,16 Dec 19,3005,1000
Gang Beasts,1.96,"135,527",9.3,1-2 hours,2.9,01 Jul 21,1960,1000
Worms Rumble,10.31,"30,845",0.2,80-100 hours,2.9,23 Jun 21,10313,1000
Jetpac Refuelled,4.82,"55,410",1.0,10-12 hours,2.8,21 Oct 20,965,200
Perfect Dark Zero,3.88,"72,391",1.2,80-100 hours,2.7,16 Dec 19,3876,1000
Genesis Noir,1.58,"13,450",11.6,3-4 hours,2.7,09 Mar 21,1908,1210
DEEEER Simulator: Your Average Everyday Deer Game,1.54,"52,200",28.4,1-2 hours,2.7,23 Nov 21,1537,1000
Madden NFL 22,2.28,"15,217",2.2,3-4 hours,2.7,17 Feb 22,2280,1000
I Am Fish,16.46,"41,305",0.1,40-50 hours,2.7,16 Sep 21,16455,1000
Pupperazzi,1.88,"13,821",15.9,3-4 hours,2.6,11 Jan 22,1882,1000
Totally Reliable Delivery Service,3.88,"94,225",0.6,8-10 hours,2.6,01 Apr 20,3991,1030
Secret Neighbor,2.84,"10,788",2.7,5-6 hours,2.6,16 Dec 19,2844,1000
Telling Lies,1.25,"20,033",43.2,1-2 hours,2.6,03 Feb 22,1254,1000
Ben 10: Power Trip,3.09,"21,515",3.2,12-15 hours,2.6,16 Dec 21,3093,1000
Madden NFL 22 (Xbox One),2.01,"12,985",4.9,3-4 hours,2.6,17 Feb 22,2010,1000
DayZ,2.97,"106,824",4.3,1-2 hours,2.4,07 May 20,2967,1000
Nongunz: Doppelganger Edition,7.97,"6,584",1.0,25-30 hours,2.4,28 Oct 21,7968,1000
Dead Space: Ignition,1.69,"25,650",22.3,3-4 hours,2.3,09 Nov 20,338,200
Library Of Ruina,21.53,"14,668",0.0,,2.2,,21525,1000
SkateBIRD,4.96,"46,013",2.8,6-8 hours,2.2,09 Sep 21,4962,1000
Crackdown 3: Wrecking Zone,2.37,"17,076",6.9,6-8 hours,2.2,18 Dec 19,1184,500
Race with Ryan,1.60,"18,928",27.9,3-4 hours,2.1,16 Dec 21,1602,1000
Surgeon Simulator 2,14.55,"49,768",0.1,50-60 hours,2.0,02 Sep 21,14549,1000
NBA 2K22 (Xbox One),3.86,"11,311",0.0,,3.4,28 Apr 22,3861,1000
UNSIGHTED,6.19,"3,684",0.5,,3.6,10 Sep 21,6195,1000
Lemnis Gate,7.04,"2,739",0.4,,3.3,10 Sep 21,7041,1000
Dandy Ace,5.50,"4,951",1.7,20-25 hours,3.1,28 Sep 21,5498,1000
Bassmaster Fishing 2022,10.72,"9,425",0.0,,2.4,09 Oct 21,14573,1360
Kraken Academy!!,1.80,"2,360",17.3,6-8 hours,3.4,22 Mar 22,1803,1000
Mind Scanners,3.31,"1,298",3.1,12-15 hours,2.3,30 Nov 21,3309,1000
ANVIL: Vault Breaker,4.70,"7,405",0.7,100-120 hours,3.6,03 Dec 21,4703,1000
Unsouled,37.18,"4,302",0.0,,3.1,28 Apr 22,37178,1000
Fae Tactics,2.65,166,0.0,,3.0,18 Nov 21,2653,1000
Undungeon,5.60,386,0.0,,2.5,19 Nov 21,5599,1000
Cricket 22,3.91,"4,411",1.2,12-15 hours,3.4,05 Apr 22,3912,1000
Next Space Rebels,6.30,"8,091",0.3,,3.2,17 Nov 21,6296,1000
One Step From Eden,3.88,"1,489",1.1,40-50 hours,3.7,11 Nov 21,3882,1000
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,7.64,"4,273",0.1,,4.1,17 Mar 22,9012,1180
Signs of the Sojourner,3.41,"1,065",2.9,15-20 hours,2.6,02 Sep 21,3406,1000
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition (JP),1.61,730,26.7,80-100 hours,4.6,05 Dec 20,1611,1000
Chinatown Detective Agency,2.37,738,0.0,,2.6,07 Apr 22,2369,1000
RESEARCH and DESTROY,13.46,"6,162",0.1,,3.1,26 Apr 22,13461,1000
Loot River,7.86,334,0.0,,3.2,Yesterday,7859,1000
Zero Escape: The Nonary Games,1.69,"1,250",25.9,40-50 hours,4.2,22 Mar 22,1689,1000
Paradise Killer,1.57,"1,250",18.0,12-15 hours,4.2,17 Mar 22,1565,1000
Crusader Kings III,16.36,"11,456",0.0,,3.8,14 Mar 22,16365,1000
Galactic Civilizations III (Windows),6.51,348,0.0,,3.1,16 Mar 22,9565,1470
Dragon Ball FighterZ (Windows),6.18,"1,436",0.4,,3.9,16 Mar 22,6176,1000
Phoenix Point,13.87,"7,388",0.0,,3.6,01 Oct 21,13869,1000
Super Mega Baseball 3,7.96,"9,309",0.1,60-80 hours,3.8,03 Mar 22,7957,1000
Immortal Realms: Vampire Wars,4.76,"5,618",0.9,60-80 hours,3.5,01 Jul 21,4761,1000
Transformers: Battlegrounds,2.40,"1,733",1.0,15-20 hours,3.1,16 Dec 21,2873,1195
The Catch: Carp Coarse Fishing,11.70,"8,084",0.0,,2.7,18 May 21,13455,1150
Atomicrops,2.90,"1,853",1.9,,4.5,22 Jul 21,5374,1850
Lethal League Blaze,3.91,"4,509",1.6,15-20 hours,3.6,29 Jul 21,3905,1000
The Evil Within (JP),1.61,388,12.1,,3.8,16 Aug 21,2787,1735
Shadowrun Returns,-,0,0.0,,,20 Apr 22,1000,1000
Shadowrun: Hong Kong - Extended Edition,-,0,0.0,,,20 Apr 22,1000,1000
Shadowrun: Dragonfall - Director's Cut,-,0,0.0,,,20 Apr 22,1000,1000
