GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score
A Way Out,1.59,"114,217",26.1,6-8 hours,4.2,09 Nov 20,1590,1000
Banjo-Kazooie,1.80,"111,867",17.1,12-15 hours,4.2,28 Apr 20,361,200
Injustice 2,3.30,"162,858",0.5,80-100 hours,4.2,07 Jan 21,3943,1195
Children of Morta,2.38,"39,381",6.3,20-25 hours,4.2,16 Jan 20,2377,1000
Alien: Isolation,3.30,"146,436",2.0,40-50 hours,4.2,16 Dec 19,3300,1000
Battlefield: Bad Company 2,1.87,"274,462",2.4,40-50 hours,4.2,09 Nov 20,2677,1430
Gears of War 4,5.09,"308,897",0.5,200-300 hours,4.2,16 Dec 19,20366,4000
Overcooked! 2,2.48,"124,372",2.0,8-10 hours,4.2,16 Dec 19,7436,3000
Tunic,3.07,"64,288",4.4,15-20 hours,4.2,16 Mar 22,3067,1000
Halo Wars: Definitive Edition,3.12,"75,646",3.7,25-30 hours,4.2,21 Oct 20,4687,1500
Dishonored: Death of the Outsider,1.89,"24,017",13.0,15-20 hours,4.2,13 Jun 21,1890,1000
Outer Wilds,3.11,"34,648",1.0,20-25 hours,4.2,06 Jan 22,5810,1870
Plants vs. Zombies Garden Warfare,2.40,"153,757",2.4,40-50 hours,4.2,09 Nov 20,3604,1500
Darkest Dungeon,5.37,"27,639",0.2,150-200 hours,4.2,10 Jun 21,7002,1305
Yakuza 5 Remastered,2.95,"8,210",2.7,150-200 hours,4.2,28 Jan 21,2951,1000
Quantum Break,1.53,"196,340",12.8,15-20 hours,4.2,16 Dec 19,1529,1000
Battlefield 3,2.11,"314,544",1.8,40-50 hours,4.2,09 Nov 20,3369,1600
Rare Replay,6.55,"181,648",0.2,200-300 hours,4.2,18 Dec 19,26183,4000
Wolfenstein II: The New Colossus,4.27,"146,594",0.1,80-100 hours,4.1,13 Jun 21,6569,1540
Hellblade: Senua's Sacrifice,1.60,"160,224",14.1,6-8 hours,4.1,16 Dec 19,1599,1000
Monster Train,3.41,"22,101",2.1,20-25 hours,4.1,17 Dec 20,3409,1000
Octopath Traveler,6.58,"41,501",0.5,100-120 hours,4.1,25 Mar 21,6580,1000
MLB The Show 22,2.08,"31,666",1.8,8-10 hours,4.1,13 Apr 22,2082,1000
Dead by Daylight,3.95,"96,087",0.2,200-300 hours,4.1,16 Dec 19,14070,3560
Elite: Dangerous,6.95,"66,416",0.0,,4.1,24 Feb 21,26466,3810
Prey,3.41,"105,857",0.7,50-60 hours,4.1,12 Mar 21,4072,1195
Tom Clancy's Rainbow Six Siege,1.51,"303,925",10.4,80-100 hours,4.1,20 Mar 22,1506,1000
Gears of War,2.68,"412,763",1.8,150-200 hours,4.1,16 Dec 19,3349,1250
The Evil Within,2.66,"67,630",1.8,60-80 hours,4.1,12 Mar 21,4610,1735
DiRT Rally 2.0,3.51,"21,936",0.2,60-80 hours,4.1,10 Aug 21,5571,1585
Fable Anniversary,1.99,"116,773",5.6,20-25 hours,4.1,16 Dec 19,1991,1000
Yakuza 4 Remastered,2.59,"6,407",5.2,60-80 hours,4.1,28 Jan 21,2585,1000
AI: The Somnium Files,2.21,"8,940",13.1,20-25 hours,4.1,30 Sep 21,2208,1000
Fable Anniversary,1.99,"116,564",5.6,20-25 hours,4.1,16 Dec 19,1989,1000
DiRT Rally 2.0,3.52,"21,866",0.2,60-80 hours,4.1,10 Aug 21,5572,1585
Banjo-Tooie,1.62,"47,173",18.9,15-20 hours,4.1,28 Apr 20,323,200
Wolfenstein: The Old Blood,2.03,"88,436",6.3,15-20 hours,4.1,12 Mar 21,2033,1000
F1 2021,2.78,"31,404",1.0,80-100 hours,4.1,24 Mar 22,2782,1000
Tropico 6,3.34,"11,784",1.8,50-60 hours,4.1,08 Jul 21,3341,1000
Tetris Effect: Connected,6.63,"98,944",0.1,80-100 hours,4.1,10 Nov 20,6631,1000
What Remains of Edith Finch,1.15,"88,929",62.9,2-3 hours,4.1,16 Dec 19,1147,1000
Final Fantasy XIII-2,1.75,"49,173",17.2,60-80 hours,4.1,02 Dec 21,1754,1000
Gears 5,7.46,"302,711",0.1,1000+ hours,4.1,07 Jan 22,18645,2500
Halo 5: Guardians,2.47,"383,062",2.5,40-50 hours,4.1,16 Dec 19,3082,1250
Sniper Elite 4,3.61,"107,142",0.6,40-50 hours,4.1,16 Dec 19,6687,1850
Gears Tactics,8.40,"96,703",0.3,80-100 hours,4.1,09 Nov 20,11756,1400
Streets of Rage 4,4.12,"115,032",0.5,40-50 hours,4.1,30 Apr 20,4928,1195
Plants vs. Zombies,2.02,"182,378",7.1,15-20 hours,4.1,09 Nov 20,404,200
The Riftbreaker,2.75,"6,910",4.0,30-35 hours,4.1,03 Sep 21,2750,1000
Dragon Quest Builders 2,3.43,"29,288",3.3,80-100 hours,4.1,04 May 21,3429,1000
Battlefield 4,2.36,"283,584",1.1,20-25 hours,4.1,09 Nov 20,3780,1600
The Forgotten City,1.85,"24,841",8.6,8-10 hours,4.1,28 Oct 21,1846,1000
Bug Fables: The Everlasting Sapling,2.70,"4,461",7.6,40-50 hours,4.1,01 Jul 21,2699,1000
LIMBO,2.12,"128,274",2.8,6-8 hours,4.1,01 Jul 21,2119,1000
Deep Rock Galactic,5.10,"68,659",0.1,300-500 hours,4.1,04 Nov 20,5104,1000
Forager,2.05,"26,163",10.6,40-50 hours,4.0,09 Jul 20,2053,1000
No Man's Sky,2.91,"128,028",1.3,50-60 hours,4.0,11 Jun 20,2909,1000
Scarlet Nexus,3.06,"38,809",4.5,60-80 hours,4.0,30 Sep 21,3061,1000
Plants vs. Zombies Garden Warfare 2,2.90,"168,026",1.0,40-50 hours,4.0,09 Nov 20,3624,1250
Fable II,1.55,"302,160",5.8,25-30 hours,4.0,16 Dec 19,2092,1350
Burnout Paradise Remastered,5.70,"102,795",0.4,60-80 hours,4.0,09 Nov 20,5699,1000
Wasteland 2: Director's Cut,2.79,"9,112",3.7,80-100 hours,4.0,16 Dec 19,2793,1000
The Walking Dead: A New Frontier,1.06,"83,897",74.0,1-2 hours,4.0,18 Dec 19,1062,1000
Turnip Boy Commits Tax Evasion,2.04,"11,858",2.1,2-3 hours,4.0,19 Apr 22,2037,1000
Dragon Ball FighterZ,3.56,"101,973",0.4,80-100 hours,4.0,21 Oct 21,3564,1000
Jurassic World Evolution,4.79,"132,004",0.2,40-50 hours,4.0,11 Feb 21,8577,1790
Dead Space 3,2.30,"124,511",2.5,50-60 hours,4.0,09 Nov 20,2875,1250
Infernax,1.93,"4,598",10.4,15-20 hours,4.0,14 Feb 22,1935,1000
Firewatch,1.22,"58,987",42.0,4-5 hours,4.0,15 Dec 21,1221,1000
State of Decay: Year-One,2.66,"142,174",1.2,60-80 hours,4.0,16 Dec 19,3984,1500
